word	channel	note
spt_SHAPES[]	1	78
spt_SHIFT[]	1	79
spt_SHORT[]	1	80
spt_SHORTER[]	1	81
spt_SHOULD[]	1	82
spt_SIDE[]	1	83
spt_SIX[]	1	84
spt_SMALL[]	1	85
spt_SO[]	1	86
spt_SOME[]	1	87
spt_SORRY[]	1	88
spt_SPACE[]	1	89
spt_SPELL[]	1	90
spt_SQUARE[]	1	91
spt_START[]	1	92
spt_STEP[]	1	93
spt_STOP[]	1	94
spt_SUM[]	1	95
spt_SUPPOSED[]	1	96
spt_SURE[]	1	97
spt_T[]	1	98
spt_TAKE[]	1	99
spt_TEEN[]	1	100
spt_TELL[]	1	101
spt_TEN[]	1	102
spt_THAN[]	1	103
spt_THAT[]	1	104
spt_THE[]	1	105
spt_THEIR[]	1	106
spt_THEN[]	1	107
spt_THERE[]	1	108
spt_THESE[]	1	109
spt_THEY[]	1	110
spt_THING[]	1	111
spt_THINGS[]	1	112
spt_THINK[]	1	113
spt_THIRD[]	1	114
spt_THIRTEEN[]	1	115
spt_THIS[]	1	116
spt_THREE[]	1	117
spt_THREW[]	1	118
spt_THROUGH[]	1	119
spt_TIME[]	1	120
spt_TO[]	1	121
spt_TOGETHER[]	1	122
spt_TONE[]	1	123
spt_TOO[]	1	124
spt_TOP[]	1	125
spt_TRY[]	1	126
spt_TURN[]	1	127
spt_TWELVE[]	2	0
spt_TWO[]	2	1
spt_TYPE[]	2	2
spt_U[]	2	3
spt_UHOH[]	2	4
spt_UNDER[]	2	5
spt_UNDERSTAND[]	2	6
spt_UNTIL[]	2	7
spt_UP[]	2	8
spt_UPPER[]	2	9
spt_USE[]	2	10
spt_V[]	2	11
spt_VARY[]	2	12
spt_VERY[]	2	13
spt_W[]	2	14
spt_WAIT[]	2	15
spt_WANT[]	2	16
spt_WANTS[]	2	17
spt_WAY[]	2	18
spt_WE[]	2	19
spt_WEIGH[]	2	20
spt_WEIGHT[]	2	21
spt_WELL[]	2	22
spt_WERE[]	2	23
spt_WHAT[]	2	24
spt_WHEN[]	2	25
spt_WHERE[]	2	26
spt_WHICH[]	2	27
spt_WHITE[]	2	28
spt_WHO[]	2	29
spt_WHY[]	2	30
spt_WILL[]	2	31
spt_WITH[]	2	32
spt_WON[]	2	33
spt_WORD[]	2	34
spt_WORK[]	2	35
spt_WORKING[]	2	36
spt_WRITE[]	2	37
spt_X[]	2	38
spt_Y[]	2	39
spt_YELLOW[]	2	40
spt_YES[]	2	41
spt_YET[]	2	42
spt_YOU[]	2	43
spt_YOUR[]	2	44
spt_Z[]	2	45
spt_ZERO[]	2	46
